id_show	episode	speaker	gender	spk_class	wc	mistakes	WER
23	20080108_2135_2150_tvme	Dominique_ORLANDO	homme	4	262	24	0.09
23	20080108_2135_2150_tvme	unk_1022	homme	4	41	1	0.02
23	20080108_2135_2150_tvme	unk_1058	homme	4	58	9	0.16
1	20080204_1900_1910_africa1	Nina_KINYAMOUNIPA	femme	4	760	83	0.11
1	20080204_1900_1910_africa1	unk_443	homme	1	6	3	0.5
1	20080204_1900_1910_africa1	Jacques_LOKMO	homme	4	230	117	0.51
1	20080204_1900_1910_africa1	Samuel_OBIANG	homme	4	227	101	0.44
1	20080204_1900_1910_africa1	Desire_ADADJA	homme	4	312	228	0.73
1	20080204_1900_1910_africa1	Ludovic_KOUMBA	homme	4	286	61	0.21
1	20080205_1900_1910_africa1	Nina_KINYAMOUNIPA	femme	4	943	107	0.11
1	20080205_1900_1910_africa1	unk_318	homme	1	6	1	0.17
1	20080205_1900_1910_africa1	Albert_EDOU-NKOULOU	homme	4	285	50	0.18
1	20080205_1900_1910_africa1	Matekewa_MULLAMBA	homme	4	172	63	0.37
1	20080205_1900_1910_africa1	Ludovic_KOUMBA	homme	4	367	46	0.13
1	20080207_1200_1210_africa1	Francois_Duc_MOUCKWANGUY	homme	4	681	130	0.19
1	20080207_1200_1210_africa1	Helene_CAUX	femme	1	134	51	0.38
1	20080207_1200_1210_africa1	Catherine_WEIBEL	femme	1	177	26	0.15
1	20080207_1200_1210_africa1	unk_443	homme	1	16	12	0.75
1	20080207_1200_1210_africa1	Marc-Ulric_MALEKOU	homme	4	211	41	0.19
1	20080207_1200_1210_africa1	Albert_EDOU-NKOULOU	homme	4	275	62	0.23
1	20080207_1200_1210_africa1	Lassina_SERME	homme	2	133	47	0.35
1	20080207_1200_1210_africa1	Nicolas_AI	homme	1	102	43	0.42
1	20080207_1200_1210_africa1	Clarisse_Francine_NTSAMA	femme	1	116	79	0.68
1	20080207_1200_1210_africa1	Yacouba_KONE	homme	1	46	32	0.7
1	20080208_1200_1210_africa1	Francois_Duc_MOUCKWANGUY	homme	4	601	150	0.25
1	20080208_1200_1210_africa1	unk_443	homme	1	8	2	0.25
1	20080208_1200_1210_africa1	Timothee_MEMEY_BOUSSIENGUI	homme	4	247	39	0.16
1	20080208_1200_1210_africa1	Moudouma_NZAMBA	homme	4	341	67	0.2
1	20080208_1200_1210_africa1	Diallo_BOUBACAR	homme	4	191	86	0.45
1	20080208_1200_1210_africa1	Abdoul_Karim_MOHAMADOU	homme	1	6	5	0.83
1	20080208_1200_1210_africa1	Samuel_OBIANG	homme	4	276	166	0.6
1	20080209_1200_1210_africa1	Moudouma_NZAMBA	homme	4	862	196	0.23
1	20080209_1200_1210_africa1	Bernard_KOUCHNER	homme	4	160	17	0.11
1	20080209_1200_1210_africa1	Pasteur_HABIMANA	homme	1	84	59	0.7
1	20080209_1200_1210_africa1	Eugene_NINDORERA	homme	1	166	138	0.83
1	20080209_1200_1210_africa1	Toufil_DANGUEDA	homme	4	223	63	0.28
1	20080210_1200_1210_africa1	Nina_KINYAMOUNIPA	femme	4	899	115	0.13
1	20080210_1200_1210_africa1	unk_663	homme	1	6	3	0.5
1	20080210_1200_1210_africa1	Jean-Marie_GUEHENNO	homme	1	76	7	0.09
1	20080210_1200_1210_africa1	Moudouma_NZAMBA	homme	4	227	50	0.22
1	20080210_1200_1210_africa1	Eugene_LOMBA	homme	4	288	44	0.15
1	20080210_1200_1210_africa1	Matekewa_MULLAMBA	homme	4	186	101	0.54
1	20080211_1200_1210_africa1	Francois_Duc_MOUCKWANGUY	homme	4	532	157	0.3
1	20080211_1200_1210_africa1	Eugene_LOMBA	homme	4	202	23	0.11
1	20080211_1200_1210_africa1	Moudouma_NZAMBA	homme	4	256	39	0.15
1	20080211_1200_1210_africa1	Michael_AGADJI	homme	4	230	51	0.22
1	20080211_1200_1210_africa1	Paul_BIYA	homme	4	151	65	0.43
1	20080212_1200_1210_africa1	Francois_Duc_MOUCKWANGUY	homme	4	708	135	0.19
1	20080212_1200_1210_africa1	unk_443	homme	1	6	3	0.5
1	20080212_1200_1210_africa1	Elisabeth_BYRS	femme	4	121	7	0.06
1	20080212_1200_1210_africa1	Moudouma_NZAMBA	homme	4	254	39	0.15
1	20080212_1200_1210_africa1	Albert_EDOU-NKOULOU	homme	4	281	45	0.16
1	20080212_1200_1210_africa1	Rodolphe_ADADA	homme	4	203	45	0.22
1	20080212_1200_1210_africa1	Issa_HAYATOU	homme	4	187	114	0.61
6	BFMTV_CultureEtVous_2012_01_17_065040	Christophe_DELAY	homme	4	25	22	0.88
6	BFMTV_CultureEtVous_2012_01_17_065040	Pascale_DE_LA_TOUR_DU_PIN	femme	4	8	5	0.62
6	BFMTV_CultureEtVous_2012_01_17_065040	Philippe_DUFREIGNE	homme	4	186	46	0.25
6	BFMTV_CultureEtVous_2012_01_17_065040	unk_1177	femme	4	25	13	0.52
6	BFMTV_CultureEtVous_2012_01_17_065040	unk_1179	homme	4	10	1	0.1
6	BFMTV_CultureEtVous_2012_01_17_065040	unk_1145	femme	1	6	6	1.0
6	BFMTV_CultureEtVous_2012_01_17_065040	unk_1148	femme	1	25	4	0.16
6	BFMTV_CultureEtVous_2012_01_17_065040	unk_1150	homme	1	5	1	0.2
6	BFMTV_CultureEtVous_2012_01_17_065040	unk_1152	homme	1	7	6	0.86
6	BFMTV_CultureEtVous_2012_01_18_065040	Christophe_DELAY	homme	4	25	15	0.6
6	BFMTV_CultureEtVous_2012_01_18_065040	Pascale_DE_LA_TOUR_DU_PIN	femme	4	20	17	0.85
6	BFMTV_CultureEtVous_2012_01_18_065040	Philippe_DUFREIGNE	homme	4	198	36	0.18
6	BFMTV_CultureEtVous_2012_01_18_065040	Francois_CLUZET	homme	1	54	14	0.26
6	BFMTV_CultureEtVous_2012_01_18_065040	Cedric_KLAPISCH	homme	1	41	24	0.59
6	BFMTV_CultureEtVous_2012_01_18_065040	unk_1177	femme	4	10	8	0.8
6	BFMTV_CultureEtVous_2012_01_18_065040	Gilles_LELLOUCHE	homme	1	34	28	0.82
6	BFMTV_CultureEtVous_2012_01_19_065040	Christophe_DELAY	homme	4	48	27	0.56
6	BFMTV_CultureEtVous_2012_01_19_065040	Pascale_DE_LA_TOUR_DU_PIN	femme	4	4	2	0.5
6	BFMTV_CultureEtVous_2012_01_19_065040	Philippe_DUFREIGNE	homme	4	229	49	0.21
6	BFMTV_CultureEtVous_2012_01_19_065040	unk_1171	femme	2	17	12	0.71
6	BFMTV_CultureEtVous_2012_01_19_065040	Damien_FERRETTE	homme	1	7	6	0.86
6	BFMTV_CultureEtVous_2012_03_01_065040	Christophe_DELAY	homme	4	140	35	0.25
6	BFMTV_CultureEtVous_2012_03_01_065040	Pascale_DE_LA_TOUR_DU_PIN	femme	4	17	10	0.59
6	BFMTV_CultureEtVous_2012_03_01_065040	Philippe_DUFREIGNE	homme	4	89	16	0.18
6	BFMTV_CultureEtVous_2012_03_01_065040	Philippe_LELLOUCHE	homme	1	95	39	0.41
6	BFMTV_CultureEtVous_2012_03_01_065040	unk_1171	femme	2	11	12	1.09
6	BFMTV_CultureEtVous_2012_03_01_065040	Christian_LOUBOUTIN	homme	1	37	27	0.73
6	BFMTV_CultureEtVous_2012_04_02_065040	Christophe_DELAY	homme	4	23	11	0.48
6	BFMTV_CultureEtVous_2012_04_02_065040	Pascale_DE_LA_TOUR_DU_PIN	femme	4	9	6	0.67
6	BFMTV_CultureEtVous_2012_04_02_065040	Philippe_DUFREIGNE	homme	4	182	68	0.37
6	BFMTV_CultureEtVous_2012_04_02_065040	Ethel_HOUBIERS	femme	1	16	6	0.38
6	BFMTV_CultureEtVous_2012_04_02_065040	Zinedine_ZIDANE	homme	1	27	26	0.96
6	BFMTV_CultureEtVous_2012_04_02_065040	unk_1171	femme	2	4	4	1.0
6	BFMTV_CultureEtVous_2012_04_02_065040	Emmanuel_GARIJO	homme	1	10	5	0.5
6	BFMTV_CultureEtVous_2012_04_03_065040	Christophe_DELAY	homme	4	42	30	0.71
6	BFMTV_CultureEtVous_2012_04_03_065040	Pascale_DE_LA_TOUR_DU_PIN	femme	4	9	9	1.0
6	BFMTV_CultureEtVous_2012_04_03_065040	Philippe_DUFREIGNE	homme	4	263	64	0.24
6	BFMTV_CultureEtVous_2012_04_03_065040	unk_1171	femme	2	8	8	1.0
6	BFMTV_CultureEtVous_2012_04_03_065040	Francois_BERLEAND	homme	1	29	19	0.66
6	BFMTV_CultureEtVous_2012_04_03_065040	Jean-Pierre_MARIELLE	homme	1	22	21	0.95
6	BFMTV_CultureEtVous_2012_04_04_065040	Philippe_DUFREIGNE	homme	4	203	82	0.4
6	BFMTV_CultureEtVous_2012_04_04_065040	unk_1166	femme	4	47	16	0.34
6	BFMTV_CultureEtVous_2012_04_04_065040	unk_1171	femme	2	4	4	1.0
6	BFMTV_CultureEtVous_2012_04_04_065040	unk_1177	homme	2	38	6	0.16
6	BFMTV_CultureEtVous_2012_04_04_065040	unk_400	femme	1	9	8	0.89
6	BFMTV_CultureEtVous_2012_04_05_065040	Christophe_DELAY	homme	4	37	28	0.76
6	BFMTV_CultureEtVous_2012_04_05_065040	Pascale_DE_LA_TOUR_DU_PIN	femme	4	18	13	0.72
6	BFMTV_CultureEtVous_2012_04_05_065040	Philippe_DUFREIGNE	homme	4	215	68	0.32
6	BFMTV_CultureEtVous_2012_04_05_065040	Johnny_HALLYDAY	homme	1	40	22	0.55
6	BFMTV_CultureEtVous_2012_04_05_065040	unk_1177	femme	4	9	8	0.89
6	BFMTV_CultureEtVous_2012_04_05_065040	unk_1179	femme	4	37	16	0.43
6	BFMTV_CultureEtVous_2012_01_13_065040	Pascale_DE_LA_TOUR_DU_PIN	femme	4	28	22	0.79
6	BFMTV_CultureEtVous_2012_01_13_065040	Philippe_DUFREIGNE	homme	4	252	60	0.24
6	BFMTV_CultureEtVous_2012_01_13_065040	unk_1171	homme	1	66	7	0.11
6	BFMTV_CultureEtVous_2012_01_13_065040	unk_1176	femme	2	18	18	1.0
6	BFMTV_CultureEtVous_2012_01_16_075000	Pascale_DE_LA_TOUR_DU_PIN	femme	4	176	56	0.32
6	BFMTV_CultureEtVous_2012_01_16_075000	unk_1171	homme	1	15	5	0.33
6	BFMTV_CultureEtVous_2012_01_16_075000	Jean_DUJARDIN	homme	4	543	256	0.47
6	BFMTV_CultureEtVous_2012_01_16_075000	Candice_MAHOUT	femme	3	204	115	0.56
6	BFMTV_CultureEtVous_2012_01_16_075000	Christophe_DELAY	homme	4	53	8	0.15
6	BFMTV_CultureEtVous_2012_04_06_065040	Christophe_DELAY	homme	4	30	29	0.97
6	BFMTV_CultureEtVous_2012_04_06_065040	Pascale_DE_LA_TOUR_DU_PIN	femme	4	20	11	0.55
6	BFMTV_CultureEtVous_2012_04_06_065040	Philippe_DUFREIGNE	homme	4	249	74	0.3
6	BFMTV_CultureEtVous_2012_04_06_065040	Pierre_CORNETTE_DE_SAINT-CYR	homme	1	28	22	0.79
6	BFMTV_CultureEtVous_2012_04_06_065040	unk_1177	femme	4	4	2	0.5
6	BFMTV_CultureEtVous_2012_04_11_065040	Pascale_DE_LA_TOUR_DU_PIN	femme	4	22	19	0.86
6	BFMTV_CultureEtVous_2012_04_11_065040	Christophe_DELAY	homme	4	25	18	0.72
6	BFMTV_CultureEtVous_2012_04_11_065040	Philippe_DUFREIGNE	homme	4	181	43	0.24
6	BFMTV_CultureEtVous_2012_04_11_065040	unk_1176	homme	4	58	15	0.26
6	BFMTV_CultureEtVous_2012_04_11_065040	unk_1177	femme	4	9	6	0.67
6	BFMTV_CultureEtVous_2012_04_12_065040	Pascale_DE_LA_TOUR_DU_PIN	femme	4	27	24	0.89
6	BFMTV_CultureEtVous_2012_04_12_065040	Christophe_DELAY	homme	4	19	19	1.0
6	BFMTV_CultureEtVous_2012_04_12_065040	Philippe_DUFREIGNE	homme	4	169	33	0.2
6	BFMTV_CultureEtVous_2012_04_12_065040	Michael_FASSBENDER	homme	1	18	16	0.89
6	BFMTV_CultureEtVous_2012_04_12_065040	unk_1178	femme	4	10	6	0.6
6	BFMTV_CultureEtVous_2012_04_12_065040	unk_1180	homme	1	39	9	0.23
6	BFMTV_CultureEtVous_2012_04_12_065040	unk_1145	femme	1	5	4	0.8
6	BFMTV_CultureEtVous_2012_04_13_065040	Christophe_DELAY	homme	4	16	9	0.56
6	BFMTV_CultureEtVous_2012_04_13_065040	Pascale_DE_LA_TOUR_DU_PIN	femme	4	20	11	0.55
6	BFMTV_CultureEtVous_2012_04_13_065040	Philippe_DUFREIGNE	homme	4	184	41	0.22
6	BFMTV_CultureEtVous_2012_04_13_065040	Juliette_GRECO	femme	1	32	11	0.34
6	BFMTV_CultureEtVous_2012_04_13_065040	unk_1176	femme	2	10	8	0.8
6	BFMTV_CultureEtVous_2012_04_13_065040	unk_1178	femme	4	23	13	0.57
6	BFMTV_CultureEtVous_2012_04_13_065040	unk_1180	homme	1	19	6	0.32
6	BFMTV_CultureEtVous_2012_04_16_065040	Christophe_DELAY	homme	4	26	22	0.85
6	BFMTV_CultureEtVous_2012_04_16_065040	Pascale_DE_LA_TOUR_DU_PIN	femme	4	6	7	1.17
6	BFMTV_CultureEtVous_2012_04_16_065040	Philippe_DUFREIGNE	homme	4	187	68	0.36
6	BFMTV_CultureEtVous_2012_04_16_065040	unk_1171	femme	2	12	12	1.0
6	BFMTV_CultureEtVous_2012_04_16_065040	unk_1177	homme	2	26	4	0.15
6	BFMTV_CultureEtVous_2012_04_16_065040	Jean-Paul_GAULTIER	homme	1	33	13	0.39
6	BFMTV_CultureEtVous_2012_05_04_065040	Christophe_DELAY	homme	4	30	21	0.7
6	BFMTV_CultureEtVous_2012_05_04_065040	Pascale_DE_LA_TOUR_DU_PIN	femme	4	18	16	0.89
6	BFMTV_CultureEtVous_2012_05_04_065040	Philippe_DUFREIGNE	homme	4	201	40	0.2
6	BFMTV_CultureEtVous_2012_05_04_065040	Jamel_DEBBOUZE	homme	1	100	58	0.58
6	BFMTV_CultureEtVous_2012_05_04_065040	unk_1176	femme	2	5	4	0.8
6	BFMTV_CultureEtVous_2012_05_04_065040	unk_1178	femme	4	30	12	0.4
6	BFMTV_CultureEtVous_2012_05_09_065040	Christophe_DELAY	homme	4	37	28	0.76
6	BFMTV_CultureEtVous_2012_05_09_065040	Pascale_DE_LA_TOUR_DU_PIN	femme	4	18	10	0.56
6	BFMTV_CultureEtVous_2012_05_09_065040	Philippe_DUFREIGNE	homme	4	192	53	0.28
6	BFMTV_CultureEtVous_2012_05_09_065040	unk_1171	homme	1	14	13	0.93
6	BFMTV_CultureEtVous_2012_05_09_065040	unk_1176	homme	4	17	5	0.29
6	BFMTV_CultureEtVous_2012_05_09_065040	Bruno_CHOEL	homme	1	15	9	0.6
6	BFMTV_CultureEtVous_2012_05_09_065040	unk_1178	homme	2	6	1	0.17
6	BFMTV_CultureEtVous_2012_05_09_065040	unk_1103	femme	1	18	14	0.78
6	BFMTV_CultureEtVous_2012_05_09_065040	unk_1180	femme	1	6	3	0.5
6	BFMTV_CultureEtVous_2012_05_09_065040	Florence_FORESTI	femme	1	4	4	1.0
6	BFMTV_CultureEtVous_2012_07_05_065040	Christophe_DELAY	homme	4	49	30	0.61
6	BFMTV_CultureEtVous_2012_07_05_065040	Pascale_DE_LA_TOUR_DU_PIN	femme	4	18	16	0.89
6	BFMTV_CultureEtVous_2012_07_05_065040	Philippe_DUFREIGNE	homme	4	154	74	0.48
6	BFMTV_CultureEtVous_2012_07_05_065040	unk_1176	homme	4	172	31	0.18
6	BFMTV_CultureEtVous_2012_05_08_065040	Christophe_DELAY	homme	4	30	19	0.63
6	BFMTV_CultureEtVous_2012_05_08_065040	Pascale_DE_LA_TOUR_DU_PIN	femme	4	28	11	0.39
6	BFMTV_CultureEtVous_2012_05_08_065040	Bruno_CHOEL	homme	1	13	13	1.0
6	BFMTV_CultureEtVous_2012_05_08_065040	Eva_GREEN	femme	1	6	6	1.0
6	BFMTV_CultureEtVous_2012_05_08_065040	Claire_FLEURY	femme	4	111	50	0.45
6	BFMTV_CultureEtVous_2012_05_08_065040	unk_1179	homme	4	66	18	0.27
6	BFMTV_CultureEtVous_2012_05_10_065040	Christophe_DELAY	homme	4	40	15	0.38
6	BFMTV_CultureEtVous_2012_05_10_065040	Pascale_DE_LA_TOUR_DU_PIN	femme	4	5	2	0.4
6	BFMTV_CultureEtVous_2012_05_10_065040	Philippe_DUFREIGNE	homme	4	165	39	0.24
6	BFMTV_CultureEtVous_2012_05_10_065040	unk_1176	homme	4	53	9	0.17
6	BFMTV_CultureEtVous_2012_05_10_065040	unk_1177	femme	4	9	5	0.56
6	BFMTV_CultureEtVous_2012_05_10_065040	Sam_DEMPSTER	homme	1	54	8	0.15
6	BFMTV_CultureEtVous_2012_05_11_065040	Christophe_DELAY	homme	4	23	10	0.43
6	BFMTV_CultureEtVous_2012_05_11_065040	Pascale_DE_LA_TOUR_DU_PIN	femme	4	14	3	0.21
6	BFMTV_CultureEtVous_2012_05_11_065040	Philippe_DUFREIGNE	homme	4	186	40	0.22
6	BFMTV_CultureEtVous_2012_05_11_065040	Lambert_WILSON	homme	1	80	59	0.74
6	BFMTV_CultureEtVous_2012_05_11_065040	unk_1180	femme	1	9	6	0.67
6	BFMTV_CultureEtVous_2012_05_14_065040	Pascale_DE_LA_TOUR_DU_PIN	femme	4	40	29	0.72
6	BFMTV_CultureEtVous_2012_05_14_065040	Christophe_DELAY	homme	4	13	14	1.08
6	BFMTV_CultureEtVous_2012_05_14_065040	Philippe_DUFREIGNE	homme	4	151	62	0.41
6	BFMTV_CultureEtVous_2012_05_14_065040	unk_1176	femme	2	6	0	0.0
6	BFMTV_CultureEtVous_2012_05_14_065040	unk_1177	femme	4	5	5	1.0
6	BFMTV_CultureEtVous_2012_05_14_065040	unk_1179	femme	4	30	6	0.2
6	BFMTV_CultureEtVous_2012_05_14_065040	Mathieu_LADEVEZE	homme	1	37	30	0.81
6	BFMTV_CultureEtVous_2012_07_09_065040	Philippe_DUFREIGNE	homme	4	218	67	0.31
6	BFMTV_CultureEtVous_2012_07_09_065040	unk_1166	homme	4	46	8	0.17
6	BFMTV_CultureEtVous_2012_07_09_065040	unk_1171	femme	2	7	7	1.0
6	BFMTV_CultureEtVous_2012_07_06_065040	Christophe_DELAY	homme	4	43	10	0.23
6	BFMTV_CultureEtVous_2012_07_06_065040	Pascale_DE_LA_TOUR_DU_PIN	femme	4	18	17	0.94
6	BFMTV_CultureEtVous_2012_07_06_065040	Philippe_DUFREIGNE	homme	4	143	30	0.21
6	BFMTV_CultureEtVous_2012_07_06_065040	unk_1176	homme	4	40	1	0.03
6	BFMTV_CultureEtVous_2012_07_06_065040	unk_1179	femme	4	31	0	0.0
6	BFMTV_CultureEtVous_2012_07_06_065040	unk_1177	femme	4	2	0	0.0
6	BFMTV_CultureEtVous_2012_07_18_065040	Pauline_REVENAZ	femme	1	22	13	0.59
6	BFMTV_CultureEtVous_2012_07_18_065040	Francois-Xavier_MENAGE	homme	1	27	11	0.41
6	BFMTV_CultureEtVous_2012_07_18_065040	Claire_FLEURY	femme	4	97	30	0.31
6	BFMTV_CultureEtVous_2012_07_18_065040	Tito_TOPIN	homme	1	11	12	1.09
6	BFMTV_CultureEtVous_2012_07_18_065040	unk_1177	homme	2	61	12	0.2
6	BFMTV_CultureEtVous_2012_07_23_065040	Francois-Xavier_MENAGE	homme	1	20	8	0.4
6	BFMTV_CultureEtVous_2012_07_23_065040	Celine_BRUEL	femme	1	23	21	0.91
6	BFMTV_CultureEtVous_2012_07_23_065040	Cecile_TRAN-TIEN	femme	4	187	28	0.15
6	BFMTV_CultureEtVous_2012_07_23_065040	unk_6	femme	1	84	65	0.77
6	BFMTV_CultureEtVous_2012_07_23_065040	unk_1177	homme	2	35	0	0.0
6	BFMTV_CultureEtVous_2012_07_20_065040	unk_1144	homme	1	25	4	0.16
6	BFMTV_CultureEtVous_2012_07_20_065040	unk_1155	femme	1	30	8	0.27
6	BFMTV_CultureEtVous_2012_07_20_065040	Athenais_KELLER	femme	4	94	24	0.26
6	BFMTV_CultureEtVous_2012_07_20_065040	Didier_VARROD	homme	1	25	0	0.0
6	BFMTV_CultureEtVous_2012_07_20_065040	unk_1176	homme	4	1	1	1.0
6	BFMTV_CultureEtVous_2012_07_20_065040	unk_1178	homme	2	27	16	0.59
6	BFMTV_CultureEtVous_2012_07_20_065040	Irma_PANY	femme	1	73	32	0.44
6	BFMTV_CultureEtVous_2012_07_24_065040	Francois-Xavier_MENAGE	homme	1	71	9	0.13
6	BFMTV_CultureEtVous_2012_07_24_065040	Celine_BRUEL	femme	1	37	18	0.49
6	BFMTV_CultureEtVous_2012_07_24_065040	Athenais_KELLER	femme	4	126	47	0.37
6	BFMTV_CultureEtVous_2012_07_24_065040	unk_1176	femme	2	16	7	0.44
6	BFMTV_CultureEtVous_2012_07_24_065040	unk_1178	homme	2	37	22	0.59
6	BFMTV_CultureEtVous_2012_07_25_065040	Pascale_DE_LA_TOUR_DU_PIN	femme	4	45	20	0.44
6	BFMTV_CultureEtVous_2012_07_25_065040	Christophe_DELAY	homme	4	68	13	0.19
6	BFMTV_CultureEtVous_2012_07_25_065040	unk_1166	femme	4	143	28	0.2
6	BFMTV_CultureEtVous_2012_07_25_065040	unk_1176	homme	4	26	9	0.35
6	BFMTV_CultureEtVous_2012_07_25_065040	unk_1178	homme	2	13	5	0.38
6	BFMTV_CultureEtVous_2012_07_26_065040	Francois-Xavier_MENAGE	homme	1	15	9	0.6
6	BFMTV_CultureEtVous_2012_07_26_065040	Sandra_GANDOIN	femme	1	19	17	0.89
6	BFMTV_CultureEtVous_2012_07_26_065040	Rudy_MILSTEIN	homme	1	114	84	0.74
6	BFMTV_CultureEtVous_2012_07_26_065040	Athenais_KELLER	femme	4	94	50	0.53
6	BFMTV_CultureEtVous_2012_07_26_065040	Alexandra_CHOURAQUI	femme	1	56	56	1.0
6	BFMTV_CultureEtVous_2012_07_30_065040	Maxime_COGNY	homme	1	17	5	0.29
6	BFMTV_CultureEtVous_2012_07_30_065040	Diane_GOUFFRANT	femme	1	27	23	0.85
6	BFMTV_CultureEtVous_2012_07_30_065040	Cecile_TRAN-TIEN	femme	4	153	32	0.21
6	BFMTV_CultureEtVous_2012_07_30_065040	Jean-Marie_LHOMME	homme	1	34	15	0.44
6	BFMTV_CultureEtVous_2012_07_30_065040	Eric_DELCOURT	homme	1	60	25	0.42
6	BFMTV_CultureEtVous_2012_07_30_065040	unk_1148	femme	1	12	11	0.92
6	BFMTV_CultureEtVous_2012_07_30_065040	Stephane_GODIN	homme	1	12	11	0.92
6	BFMTV_CultureEtVous_2012_07_30_065040	unk_1178	femme	4	6	2	0.33
6	BFMTV_CultureEtVous_2012_07_30_065040	unk_1180	homme	1	5	6	1.2
6	BFMTV_CultureEtVous_2012_07_30_065040	unk_1095	femme	1	2	2	1.0
6	BFMTV_CultureEtVous_2012_07_30_065040	unk_1146	femme	1	28	21	0.75
6	BFMTV_CultureEtVous_2012_07_30_065040	Nicolas_BIENVENU	homme	1	19	7	0.37
